risk_id,title,category,severity,confidence,affected_area,likelihood,impact,trigger,mitigation,next_action
R-01,Production venv missing — system cannot run,operations,critical,high,"entire pipeline, scheduler, tests",certain (already occurred),Total outage; no ingestion or notifications since ~2026-06-13,4_env/ deleted or never migrated; nothing detects absence,Recreate venv; remove hardcoded interpreter path; add liveness alert,Rebuild 4_env from requirements.txt and verify make dry-run/test/health (Roadmap 0.1)
R-02,Stages exit 0 on failure so orchestrator certifies empty runs,reliability,critical,high,all 14 stages + runner retry logic,high (any infra hiccup),Silent no-op nights; .done markers lie; retries never fire,"Ollama down, empty raw_pdfs, exhausted API keys, GPU fault",Exit-code truthfulness pass + zero-yield assertions,Implement Roadmap 1.1 before any other architectural work
R-03,Silent end-to-end no-op day (download fails then pipeline greens then cleanup),reliability,critical,high,daily ingestion + product output,high,Days of lost coverage discovered only by absence of alerts,epaperwave breakage or Selenium/driver/display failure at 11:50,Telegram zero-yield alarm; downloader expected-vs-actual count check,Implement Roadmap 1.2 failure/digest hook
R-04,Homemade unsupervised bash scheduler,orchestration,high,high,job scheduling,high,Missed or duplicated runs; unobservable liveness,Reboot; second instance; log-mtime misinference,Replace with systemd timers (Persistent=true) + OnFailure alert,Roadmap 0.2
R-05,No single-instance locking (runner or scheduler),orchestration,high,high,"markers, metrics JSON, SQLite DBs, GPU",medium,State corruption; duplicate Telegram sends; doubled GPU load,Manual run overlapping 23:30 scheduled run,flock in run_pipeline.sh; later orchestrator concurrency limits,Roadmap 1.8
R-06,Fake metrics (counters hardwired to zero),observability,high,high,data/pipeline_metrics.json consumers,certain (by construction),False confidence in throughput; masks outages,Reading the metrics file at all,Emit real counts or delete counters,Roadmap 1.5
R-07,Failed Telegram sends permanently lost via watermark advance,telegram,high,high,job notifications (product output),high given F-009/429s,Users never receive affected job alerts; no recovery path,Any mid-list send failure (HTML 400 or 429),Per-job sent_at / notifications outbox; escape URL; honor retry_after,Roadmap 1.4
R-08,Nightly cleanup destroys inputs and debug evidence of failed runs,state,high,high,raw_pdfs + processed_pdfs + debug dumps,medium-high,Unrecoverable loss of the day's papers and forensics,stage11 reached after any silently-failed stage,Yield-gated deletion; --yes flag; archive-then-prune,Roadmap 1.3
R-09,GPU-queue overflow written to a file nothing reads,reliability,high,high,stage04 OCR completeness,low-medium (needs >1024-block backlog),Silent loss of OCR'd blocks with misleading 'persisted' log,Very large paper or slow GPU day,Remove path; block or fail loudly,Roadmap 1.7
R-10,Single-aggregator scraping dependency (epaperwave + one TG channel),scraping,high,high,100% of ingestion,medium per-month; certain eventually,Zero ingestion until new sources built under pressure,Site redesign / takedown / Cloudflare policy change,Telegram-first strategy; official/RSS/portal sources for subset,Roadmap 3.2; probe wp-json (H-04)
R-11,SQLite sprawl without migrations across 4 DBs,data,high,high,all persistent business data,medium,Schema evolution breaks positional readers; no cross-DB queries,First schema change (e.g. adding sent_at),core/storage.py + single scanner.db + user_version ladder,Roadmap 2.1 (backup DBs first)
R-12,No health interface / alerting / admin tooling,observability,high,high,operations,certain (proven by current dormancy),Incidents undetected; per-incident SSH archaeology,Any failure while operator not actively watching,Telegram ops hook; scanner status/retry CLI; Prefect UI later,Roadmap 1.2 then 2.3
R-13,"Fragmented state (9+ mechanisms, no run identity)",state,high,high,resume/recovery correctness,high,Wrong resumes (index drift); unanswerable 'what happened to run X',Any interrupted run followed by partial re-run,Run-state DB + boundary manifests,Roadmap 2.2
R-14,stage04 homemade GPU/CPU executor complexity,concurrency,high,high,OCR stage,medium,Concurrency bugs (R-09 lives here); fixes must land twice (dup blocks),Any modification to stage04,Freeze feature work; extract duplicate OOM block; replace with VLM engine per roadmap doc,Roadmap 3.4 (deferred deliberately)
R-15,Ollama lifecycle owned by stage07 incl. pkill -f ollama,operations,medium,high,LLM service + unrelated processes,medium,Kills concurrent/interactive ollama sessions; supervisor logic in a stage,Connection error path during extraction,systemd unit for ollama; stage only checks readiness,Roadmap 2.5
R-16,genai.configure thread race misattributes API keys,concurrency,medium,high,gemini batch path (latent in prod),low today; high if generate_batch adopted,Wrong quota/cooldown accounting; one key absorbs all traffic,Threaded run_batch / CLI --batch usage,Lock around configure+call or per-client key instances,Roadmap 2.4
R-17,Index-based Gemini resume against regenerated shortlist,state,medium,high,stage09 analysis correctness,medium,Wrong jobs analyzed / silently skipped after interruption,Key exhaustion one day + re-shortlist the next,Resume by job_id from its own SQLite table,Roadmap 2.6
R-18,Unbounded disk growth (cache_blocks 629MB + logs + run_state) with zero disk checks,operations,medium,high,GPU machine disk,medium,Mid-run disk exhaustion with confusing partial-write failures,Weeks of normal operation,Eviction + retention sweep + df preflight,Roadmap 2.7
R-19,Secrets in plaintext across working tree (session file at repo root),security,medium,high,Telegram account + Gemini keys,low-medium,Credential leak via backup/share/forced add,Directory zip/share or git add -f,Relocate to ~/.config; keep tree example-only,Roadmap quick win (F-029)
R-20,Manual-run .done trap (non-force run after success silently no-ops),state,medium,high,operator workflows,high whenever manual runs happen,False 'success' in seconds; missed reprocessing,Manual run_pipeline.sh without --force,Run-scoped state; interim date-stamped markers,Roadmap 2.2
R-21,Structural-only tests + CUDA-heavy CI,testing,medium,high,regression safety,high (already bitten: F-008/F-009/F-020 uncaught),Logic bugs ship green; CI slow/wheel-fragile,Any behavior change,Regression tests per fix; split CI requirements,Roadmap 1.9
R-22,Scheduler bash fragility (set -e arithmetic; unguarded compute_next; duplicated times),orchestration,medium,medium,scheduler boot,medium,Daemon dies at boot after innocuous edit,jobs.conf format tweak or refactor removing '|| true',Retire via systemd timers rather than patch,Roadmap 0.2
R-23,SQLite lock contention under overlap or threaded batch (hypothesis),data,medium,low,gemini audit log + shortlist DB,unknown,Lost rows or crashed runs,Concurrent writers on rollback-journal DBs,WAL-by-default in core/storage.py; overlap test,Verify per H-01 during Roadmap 2.1
R-24,Wrong-edition/wrong-city downloads pass validation,scraping,medium,medium,ingestion correctness,medium,Weeks of scanning the wrong paper; recall loss invisible,0.65 fuzzy match on similar edition names,Per-layer match telemetry + edition assertions,Roadmap 2.9
R-25,Notification backlog burst after outage recovery,telegram,low,high,user experience + rate limits,high after any multi-day outage,Message flood; possible 429 chain into R-07,First successful run after downtime,--max-per-run cap with rollover; retry_after handling,Roadmap 1.4
