stage,script,input,output,state_dependency,retry_behavior,failure_mode,notes,risk_level
scheduler,scripts/scheduler.sh,scripts/jobs.conf,background job invocations + logs/<job>_<ts>.log,log-file mtimes as ran-today state,none (fire-and-forget; exit codes swallowed),daemon not running / double instance / log-mtime misinference,No supervision; catch-up logic hardcodes 11:50 and 23:30 duplicating jobs.conf,critical
downloader,src/downloader/newspaper_downloader.py,configs/newspaper_config.json + epaperwave.com + Google Drive + Telegram channel,data/raw_pdfs/*.pdf,.download_state.json (gdrive skips); per-day already-downloaded scan; Telethon session file,requests session Retry 3x; per-source heuristic cascade; no cross-day retry,zero/partial yield invisible (exit 1 only if 0 files; scheduler ignores it); headless:false requires display,workers=1 shipped 'for debugging'; PDF validation + atomic writes are solid,high
01,src/pipeline/stage01_pdf_to_images.py,data/raw_pdfs/*.pdf,data/pdf2img/<stem>/<stem>_pN.png; PDFs moved to processed_pdfs,none,per-page mupdf->pdf2image fallback; no stage retry semantics,empty input treated as success (exit 0); failed pages counted then lost; PDF moved even when pages failed,ProcessPool x ThreadPool; unlocked nonlocal counters (cosmetic),high
02,src/pipeline/stage02_block_detection.py,data/pdf2img/*/*.png,data/job_blocks_smart/<folder>/*_blockN.png + debug_pN.png,debug_pN.png existence = skip marker,none; skip-marker gives implicit partial resume,per-page failures logged and counted; exit always 0,multiprocessing Pool (cpu/2 max 6),medium
03,src/pipeline/stage03_block_refiner.py,data/job_blocks_smart,data/job_blocks_refined/<folder>/*.png,none (no resume; reprocesses all),none,exceptions become skipped_error counter; exit 0; discarded blocks unsampled (DEBUG_SAMPLE_RATE=0.0),tesseract-based keep/skip filters; recall loss unmeasurable,medium
04,src/pipeline/stage04_ocr.py,data/job_blocks_refined,data/block_texts + data/page_texts/<paper>_pN_text.txt,data/progress/<paper>_progress.json (rewritten per block; two writers); cache_blocks/*.npy,failed blocks never retried; strict resume wipes whole paper on any imperfection,exit 0 regardless; overflow tasks lost to write-only task_backlog.txt; OOM spill duplicated code,~800-line homemade GPU-thread/CPU-process executor; slated for VLM replacement,critical
05,src/pipeline/stage05_translation.py,data/page_texts,data/all_eng_text/<paper>/*.txt,none (overwrites),per-line try/except keeps original text,missing Argos package -> return exit 0; per-line calls slow,Devanagari digit normalization; hindi-detection threshold 0.2,low
06,src/pipeline/stage06_batch_builder.py,data/all_eng_text,data/batch_inputs/<prefix>/<prefix>_pN_batch_M.txt,none,none,empty inputs logged then exit 0; prefix split on '_p' fragile for odd names,1000-word batches / 50-word overlap,low
07,src/pipeline/stage07_llm_extraction.py --no-hybrid,data/batch_inputs + Ollama API,data/batch_output/*_response.txt + data/Jobs_found_final/<paper>/*_jobs.txt,data/processing_state.db (WAL) + processing_checkpoint.txt + --force modifier,urllib3 Retry 5x X manual 3x; empty response leaves file unmarked (retried next run),model never ready -> exit 0 with .done written; manages ollama serve lifecycle incl. pkill -f ollama,keyword prefilter (>=2 matches); checkpoint writer rglobs input per file (O(n^2)),high
08,src/pipeline/stage08_post_processing.py,data/Jobs_found_final/*/_jobs.txt,<issue>_jobs_all.txt deduped numbered lines,none,none,exit 0 always; O(n^2) SequenceMatcher dedup,fine at current volumes,low
09a,src/pipeline/stage09_dynamic_resumes.py,resumes/*.pdf + GitHub API,data/dynamic_resumes/dynamic_resume_{ee|aiml|hybrid}.txt,data/cache/github_skills_<user>.json (never expires),none; GitHub failure degrades to empty skills silently,missing PDFs -> return exit 0; unauthenticated 60req/hr easily exhausted,hardcoded usernames; 'dynamic' resumes static after first cache write,medium
09b,src/pipeline/stage09_local_filter.py,Jobs_found_final *_jobs_all.txt + dynamic_resumes,data/shortlisted_jobs_json/shortlisted_jobs.json + debug JSON,none (regenerates fully each run),none,no jobs/resumes -> return exit 0,MiniLM cosine sim; threshold 0.3 hardcoded default,medium
09c,src/pipeline/stage09_llm_filter.py,shortlisted_jobs.json + Gemini API,data/llm_results/llm_job_analysis.db + timestamped JSON export,llm_results/progress.json (index-based resume against regenerated input),client 3x + key rotation + cooldowns; error rows terminal (never re-driven),key exhaustion -> break exit 0; missing input -> exit 0; index resume analyzes wrong jobs,double 1.2s sleep per job; deletes validation cache each start,high
09d,src/pipeline/stage09_shortlist.py,latest-by-mtime JSON in data/llm_results,data/shortlists/smart_shortlist_<ts>.md + rows in shortlist_history.db sent_jobs,data/shortlist_history.db (dedup written pre-send),none,verdicts parsed by substring heuristics on LLM prose; latest-JSON pick can grab stale file,'sent_jobs' misnomer: rows recorded at shortlist time,medium
10,src/pipeline/stage10_notification.py,shortlist_history.db sent_jobs + Telegram Bot API,Telegram messages + data/telegram/last_telegram_sent.txt,watermark file + sent_jobs (positional tuples),3x exp backoff per message; no retry_after handling,watermark advances past failed sends (permanent loss); unescaped URL breaks HTML; module-level SystemExit on missing env,only stage with honest non-zero exits; sends daily test message,high
11,src/pipeline/stage11_cleanup.py,data/* + logs/*,emptied intermediate dirs + .gitkeep placeholders,KEEP/CLEAN lists hardcoding all other stages' dirs,none,deletes raw+processed PDFs and debug dumps even after silently-failed runs; interactive y/N auto-piped by runner,logs pruned >7d for *.log only; cache_blocks and run_state never cleaned,high
runner,scripts/run_pipeline.sh,commands array (14 stages),"run_state/*.done + logs/*.{out,err,combined}.log + pipeline_<date>.jsonl + data/pipeline_metrics.json",.done markers keyed to command string (no run/date scope),per-stage exp backoff 10->300s max 5 (0=unlimited),retry logic mostly dead because stages exit 0; metrics counters hardwired to 0; no lock against overlap,duplicate Python implementation (pipeline_runner.py) has drifted,high
